ALTER TABLE dib_usuariaplicacio ADD CONSTRAINT dib_usrapp_username_uk unique (username);


-- ==== ERRORS EN TAULA ]UsuariPersona[:

 --  Error de forma en contraint unique
ALTER TABLE dib_usuaripersona DROP CONSTRAINT dib_persona_username_uk;
ALTER TABLE dib_usuaripersona ADD CONSTRAINT dib_usrperson_username_uk unique (username);
 --  Error de forma en contraint unique
ALTER TABLE dib_usuaripersona DROP CONSTRAINT dib_persona_nif_uk;
ALTER TABLE dib_usuaripersona ADD CONSTRAINT dib_usrperson_nif_uk unique (nif);
-- La ForeignKey dib_persona_idioma_fk de la taula UsuariPersona no té un nom correcte (esperat dib_usrperson_idioma_*_fk )
ALTER TABLE dib_usuaripersona DROP CONSTRAINT dib_persona_idioma_fk;
ALTER TABLE dib_usuaripersona ADD CONSTRAINT dib_usrperson_idioma_idioma_fk  FOREIGN KEY (idiomaid)  REFERENCES dib_idioma (idiomaid);


INFO  2018-11-12 09:12:36,091 Panel_5_StoreProject - Saving File in 156ms
INFO  2018-11-12 09:12:46,215 RebApp -  NUMERO -> 1
INFO  2018-11-12 09:12:48,430 Panel_1_SelectDB -  ================ PASSA PER INITPANEL() de SELECTDB;
INFO  2018-11-12 09:12:48,446 RebApp -  CARD NAME: SelectDB
INFO  2018-11-12 09:12:48,446 RebApp - INIT BUTTON STATUS: false
INFO  2018-11-12 09:12:51,426 Panel_1_SelectDB - Passa per next SELECT DB
INFO  2018-11-12 09:12:51,550 DatabaseManager - FINAL SCHEMA SELECCIONAT = digitalib
INFO  2018-11-12 09:12:51,582 DatabaseManager - Primary KEY [fitxerid] = dib_fitxer_pk
INFO  2018-11-12 09:12:51,628 DatabaseManager - UNIQUES = dib_fitxer_pk => fitxerid
INFO  2018-11-12 09:12:51,644 DatabaseManager - INDEX = dib_fitxer_pk_i => fitxerid
INFO  2018-11-12 09:12:51,644 DatabaseManager - --- Camps --
INFO  2018-11-12 09:12:51,644 DatabaseManager - 0.- fitxerid
INFO  2018-11-12 09:12:51,644 DatabaseManager - 1.- descripcio
INFO  2018-11-12 09:12:51,644 DatabaseManager - 2.- mime
INFO  2018-11-12 09:12:51,660 DatabaseManager - 3.- nom
INFO  2018-11-12 09:12:51,660 DatabaseManager - 4.- tamany
INFO  2018-11-12 09:12:51,660 DatabaseManager - ------------
INFO  2018-11-12 09:12:51,660 DatabaseManager - Primary KEY [idiomaid] = dib_idioma_pk
INFO  2018-11-12 09:12:51,691 DatabaseManager - ====[dib_usrperson_idioma_idioma_fk] >>>> ExportedKeys FOREIGN KEY[idiomaid] -> dib_usuaripersona[idiomaid]
INFO  2018-11-12 09:12:51,691 DatabaseManager - UNIQUES = dib_idioma_pk => idiomaid
INFO  2018-11-12 09:12:51,706 DatabaseManager - INDEX = dib_idioma_pk_i => idiomaid
